iter	Passed	Remaining
0	17	17590
1	66	33413
2	112	37484
3	158	39521
4	203	40588
5	247	41048
6	292	41499
7	294	36509
8	339	37337
9	341	33787
10	386	34746
11	432	35645
12	477	36252
13	521	36745
14	566	37175
15	610	37561
16	656	37988
17	702	38303
18	746	38528
19	789	38691
20	834	38882
21	878	39045
22	921	39157
23	965	39250
24	1013	39512
25	1066	39954
26	1124	40506
27	1182	41055
28	1230	41185
29	1276	41262
30	1279	39988
31	1323	40043
32	1329	38959
33	1373	39015
34	1418	39098
35	1462	39169
36	1507	39230
37	1550	39262
38	1594	39299
39	1637	39309
40	1682	39362
41	1726	39386
42	1769	39390
43	1814	39413
44	1859	39469
45	1904	39499
46	1948	39504
47	1991	39496
48	2035	39506
49	2080	39534
50	2123	39516
51	2167	39523
52	2170	38788
53	2214	38799
54	2258	38806
55	2301	38801
56	2345	38795
57	2389	38815
58	2434	38823
59	2478	38830
60	2523	38839
61	2566	38832
62	2609	38809
63	2652	38800
64	2696	38781
65	2739	38761
66	2781	38738
67	2825	38721
68	2868	38704
69	2911	38678
70	2955	38674
71	3000	38667
72	3044	38659
73	3087	38638
74	3130	38613
75	3176	38616
76	3220	38599
77	3263	38578
78	3312	38614
79	3359	38632
80	3406	38654
81	3454	38677
82	3503	38703
83	3551	38727
84	3599	38750
85	3648	38772
86	3695	38780
87	3742	38781
88	3786	38758
89	3829	38725
90	3875	38717
91	3923	38723
92	3967	38691
93	4011	38666
94	4055	38633
95	4098	38595
96	4142	38564
97	4187	38538
98	4231	38510
99	4233	38099
100	4275	38060
101	4321	38044
102	4369	38053
103	4428	38157
104	4486	38241
105	4547	38350
106	4593	38338
107	4640	38324
108	4685	38297
109	4729	38269
110	4739	37960
111	4783	37928
112	4831	37925
113	4877	37910
114	4922	37878
115	4966	37851
116	5010	37817
117	5055	37786
118	5101	37765
119	5148	37752
120	5192	37718
121	5236	37686
122	5282	37663
123	5326	37632
124	5370	37595
125	5415	37566
126	5460	37535
127	5504	37497
128	5551	37483
129	5553	37164
130	5598	37135
131	5642	37101
132	5686	37067
133	5730	37034
134	5775	37006
135	5819	36971
136	5864	36939
137	5907	36902
138	5952	36868
139	5996	36838
140	6040	36800
141	6084	36766
142	6130	36740
143	6175	36711
144	6219	36674
145	6263	36635
146	6308	36605
147	6353	36577
148	6397	36540
149	6443	36512
150	6488	36481
151	6533	36449
152	6578	36417
153	6622	36383
154	6667	36350
155	6711	36310
156	6755	36273
157	6801	36245
158	6846	36212
159	6889	36169
160	6933	36130
161	6978	36101
162	7023	36065
163	7068	36033
164	7114	36003
165	7159	35968
166	7203	35930
167	7247	35893
168	7293	35864
169	7339	35835
170	7384	35798
171	7428	35760
172	7472	35720
173	7517	35687
174	7564	35663
175	7610	35628
176	7654	35589
177	7698	35552
178	7743	35516
179	7788	35482
180	7832	35442
181	7877	35406
182	7921	35366
183	7965	35324
184	8010	35288
185	8055	35254
186	8100	35216
187	8144	35176
188	8188	35138
189	8235	35107
190	8277	35061
191	8323	35029
192	8326	34814
193	8328	34600
194	8372	34564
195	8417	34530
196	8462	34492
197	8508	34462
198	8552	34423
199	8596	34386
200	8641	34352
201	8685	34313
202	8729	34274
203	8774	34239
204	8818	34199
205	8863	34163
206	8908	34128
207	8954	34094
208	9000	34065
209	9002	33868
210	9048	33834
211	9094	33802
212	9139	33767
213	9183	33729
214	9228	33693
215	9274	33663
216	9320	33631
217	9366	33598
218	9411	33563
219	9457	33532
220	9505	33505
221	9550	33471
222	9596	33436
223	9641	33400
224	9686	33365
225	9730	33325
226	9777	33293
227	9821	33255
228	9865	33216
229	9909	33175
230	9954	33137
231	9997	33096
232	10043	33060
233	10088	33025
234	10134	32990
235	10179	32955
236	10226	32922
237	10271	32885
238	10316	32849
239	10363	32816
240	10407	32778
241	10453	32741
242	10497	32702
243	10541	32662
244	10586	32622
245	10631	32584
246	10677	32551
247	10723	32515
248	10768	32477
249	10813	32441
250	10858	32401
251	10902	32360
252	10947	32322
253	10993	32288
254	11038	32248
255	11082	32208
256	11128	32173
257	11173	32135
258	11218	32097
259	11263	32058
260	11309	32020
261	11354	31983
262	11399	31943
263	11442	31901
264	11487	31860
265	11532	31823
266	11578	31785
267	11624	31750
268	11667	31707
269	11712	31665
270	11756	31625
271	11801	31587
272	11845	31545
273	11889	31503
274	11934	31463
275	11978	31421
276	12022	31381
277	12066	31338
278	12111	31299
279	12157	31262
280	12204	31227
281	12250	31190
282	12295	31152
283	12340	31110
284	12383	31068
285	12427	31025
286	12473	30987
287	12517	30947
288	12562	30906
289	12607	30867
290	12652	30826
291	12695	30783
292	12740	30741
293	12784	30701
294	12830	30662
295	12878	30630
296	12925	30594
297	12971	30556
298	13017	30520
299	13063	30480
300	13108	30442
301	13154	30403
302	13200	30364
303	13246	30326
304	13291	30286
305	13337	30248
306	13381	30206
307	13426	30166
308	13471	30125
309	13517	30087
310	13561	30044
311	13606	30003
312	13650	29961
313	13695	29920
314	13740	29880
315	13784	29838
316	13828	29794
317	13873	29752
318	13917	29711
319	13962	29670
320	14006	29628
321	14011	29503
322	14056	29462
323	14100	29419
324	14146	29381
325	14192	29342
326	14198	29222
327	14243	29181
328	14287	29140
329	14332	29099
330	14376	29058
331	14424	29022
332	14471	28986
333	14516	28945
334	14560	28903
335	14615	28883
336	14672	28866
337	14731	28852
338	14788	28834
339	14832	28793
340	14878	28753
341	14924	28714
342	14971	28676
343	15018	28639
344	15064	28600
345	15112	28564
346	15159	28528
347	15204	28486
348	15249	28444
349	15295	28406
350	15340	28364
351	15385	28323
352	15430	28281
353	15476	28242
354	15520	28199
355	15566	28158
356	15610	28116
357	15656	28076
358	15702	28036
359	15747	27996
360	15793	27955
361	15838	27913
362	15884	27874
363	15929	27833
364	15974	27791
365	16020	27752
366	16065	27709
367	16110	27668
368	16156	27627
369	16200	27584
370	16247	27546
371	16293	27506
372	16339	27466
373	16386	27427
374	16432	27387
375	16478	27346
376	16523	27305
377	16568	27263
378	16613	27221
379	16658	27180
380	16705	27141
381	16752	27102
382	16799	27063
383	16845	27022
384	16890	26980
385	16936	26940
386	16982	26899
387	17027	26857
388	17072	26816
389	17117	26774
390	17164	26734
391	17211	26695
392	17260	26658
393	17306	26618
394	17353	26579
395	17399	26537
396	17444	26496
397	17489	26453
398	17534	26411
399	17579	26369
400	17624	26327
401	17671	26287
402	17716	26245
403	17762	26204
404	17808	26162
405	17853	26120
406	17898	26078
407	17944	26036
408	17992	25999
409	18039	25959
410	18087	25921
411	18133	25879
412	18179	25838
413	18224	25795
414	18270	25754
415	18316	25713
416	18361	25670
417	18407	25629
418	18452	25587
419	18497	25544
420	18542	25502
421	18588	25460
422	18633	25417
423	18679	25375
424	18724	25333
425	18771	25293
426	18816	25250
427	18862	25208
428	18867	25112
429	18914	25072
430	18960	25031
431	19007	24991
432	19059	24958
433	19114	24927
434	19167	24895
435	19221	24864
436	19267	24822
437	19313	24781
438	19359	24738
439	19404	24696
440	19450	24654
441	19496	24613
442	19542	24571
443	19587	24528
444	19632	24485
445	19679	24445
446	19724	24401
447	19770	24360
448	19817	24319
449	19863	24277
450	19908	24234
451	19954	24192
452	20000	24150
453	20046	24108
454	20091	24065
455	20136	24022
456	20182	23980
457	20227	23937
458	20272	23894
459	20319	23852
460	20365	23811
461	20411	23769
462	20456	23726
463	20503	23684
464	20549	23642
465	20595	23600
466	20641	23559
467	20689	23518
468	20735	23476
469	20780	23433
470	20824	23389
471	20869	23345
472	20914	23302
473	20964	23263
474	21011	23223
475	21057	23180
476	21102	23138
477	21149	23095
478	21195	23054
479	21243	23013
480	21289	22971
481	21335	22929
482	21380	22885
483	21427	22844
484	21472	22801
485	21518	22758
486	21564	22716
487	21611	22673
488	21658	22632
489	21703	22589
490	21749	22546
491	21794	22502
492	21839	22459
493	21841	22372
494	21885	22327
495	21931	22285
496	21977	22242
497	22022	22199
498	22068	22157
499	22113	22113
500	22158	22069
501	22203	22027
502	22250	21984
503	22295	21941
504	22342	21899
505	22389	21858
506	22437	21817
507	22481	21773
508	22525	21729
509	22571	21685
510	22615	21642
511	22662	21600
512	22708	21557
513	22755	21515
514	22801	21473
515	22847	21431
516	22892	21387
517	22938	21344
518	22986	21303
519	23032	21260
520	23078	21217
521	23124	21175
522	23171	21133
523	23217	21090
524	23262	21047
525	23309	21005
526	23357	20964
527	23404	20922
528	23450	20878
529	23494	20834
530	23540	20791
531	23587	20749
532	23632	20706
533	23679	20664
534	23725	20621
535	23770	20577
536	23817	20535
537	23863	20492
538	23909	20449
539	23955	20406
540	24003	20364
541	24049	20321
542	24094	20278
543	24140	20235
544	24185	20191
545	24231	20148
546	24276	20104
547	24321	20061
548	24324	19982
549	24369	19938
550	24415	19896
551	24462	19853
552	24507	19810
553	24554	19767
554	24557	19690
555	24602	19646
556	24648	19603
557	24694	19561
558	24740	19517
559	24788	19476
560	24844	19441
561	24903	19408
562	24962	19375
563	25010	19334
564	25057	19292
565	25103	19248
566	25150	19206
567	25198	19165
568	25244	19121
569	25290	19078
570	25336	19035
571	25382	18992
572	25430	18950
573	25476	18907
574	25521	18863
575	25567	18820
576	25613	18777
577	25659	18734
578	25710	18694
579	25755	18650
580	25802	18607
581	25848	18564
582	25895	18522
583	25940	18478
584	25986	18434
585	26031	18390
586	26077	18347
587	26121	18302
588	26168	18260
589	26215	18217
